   i    yr   yplus    vz_avg    vz_rms  vr_rms  vphi_rms
    1,   .0016611296,   .6692086708,   .6720772851,   .0586573253,   .0000116365,   .0163183584
    2,   .0033222591,  1.3384173417,  1.3412859560,   .2334116114,   .0001585600,   .0567519593
    3,   .0049833887,  2.0076260125,  2.0063654122,   .5214492492,   .0006856275,   .1117144240
    4,   .0066445183,  2.6768346833,  2.6651052722,   .9151748873,   .0018580568,   .1747181645
    5,   .0083056478,  3.3460433541,  3.3145408859,  1.3997935335,   .0039073618,   .2415109324
    6,   .0099667774,  4.0152520250,  3.9512683612,  1.9537312481,   .0070137200,   .3094750913
    7,   .0116279070,  4.6844606958,  4.5717981388,  2.5512590410,   .0113070301,   .3771165984
    8,   .0132890365,  5.3536693666,  5.1728685917,  3.1658551738,   .0168749782,   .4436524021
    9,   .0149501661,  6.0228780374,  5.7516703637,  3.7730449019,   .0237705495,   .5087052329
   10,   .0166112957,  6.6920867083,  6.3059737693,  4.3522463307,   .0320154421,   .5720690653
   11,   .0182724252,  7.3612953791,  6.8341726193,  4.8875990458,   .0415998920,   .6335464007
   12,   .0199335548,  8.0305040499,  7.3352712621,  5.3681624573,   .0524807510,   .6928265244
   13,   .0215946844,  8.6997127208,  7.8088307149,  5.7875320565,   .0645823659,   .7494938251
   14,   .0232558140,  9.3689213916,  8.2548979213,  6.1432300210,   .0777994451,   .8030881843
   15,   .0249169435, 10.0381300624,  8.6739261235,  6.4358714696,   .0920044429,   .8532121579
   16,   .0265780731, 10.7073387332,  9.0666979462,  6.6684727822,   .1070569751,   .8996185358
   17,   .0282392027, 11.3765474041,  9.4342482140,  6.8457325704,   .1228115307,   .9422523581
   18,   .0299003322, 12.0457560749,  9.7778605991,  6.9740155781,   .1391301720,   .9813241452
   19,   .0315614618, 12.7149647457, 10.0989061153,  7.0600182619,   .1558882244,  1.0170962765
   20,   .0332225914, 13.3841734165, 10.3988123484,  7.1103929713,   .1729745548,  1.0498558203
   21,   .0348837209, 14.0533820874, 10.6790339851,  7.1315042771,   .1902918730,  1.0798899011
   22,   .0365448505, 14.7225907582, 10.9410229794,  7.1292752142,   .2077570236,  1.1074609685
   23,   .0382059801, 15.3917994290, 11.1861799553,  7.1089412204,   .2253044562,  1.1327614875
   24,   .0398671096, 16.0610080998, 11.4157590080,  7.0742256570,   .2428851415,  1.1558235843
   25,   .0415282392, 16.7302167707, 11.6309362481,  7.0284269453,   .2604593290,  1.1766900925
   26,   .0431893688, 17.3994254415, 11.8327997065,  6.9740088535,   .2780050039,  1.1953898069
   27,   .0448504983, 18.0686341123, 12.0223590380,  6.9127587770,   .2955111354,  1.2119622679
   28,   .0465116279, 18.7378427832, 12.2005488525,  6.8460053870,   .3129738310,  1.2264893475
   29,   .0481727575, 19.4070514540, 12.3682322728,  6.7747806051,   .3303924903,  1.2391268811
   30,   .0498338870, 20.0762601248, 12.5262046723,  6.6999325752,   .3477659551,  1.2501363547
   31,   .0514950166, 20.7454687956, 12.6751759402,  6.6219906543,   .3650728636,  1.2597859622
   32,   .0531561462, 21.4146774665, 12.8158732044,  6.5414257809,   .3823513288,  1.2683750123
   33,   .0548172757, 22.0838861373, 12.9488910950,  6.4589487221,   .3996100800,  1.2761676662
   34,   .0564784053, 22.7530948081, 13.0747729878,  6.3750414540,   .4168378613,  1.2833656895
   35,   .0581395349, 23.4223034789, 13.1940221717,  6.2900316609,   .4340129072,  1.2901300053
   36,   .0598006645, 24.0915121498, 13.3071077797,  6.2041517738,   .4511100949,  1.2965976935
   37,   .0614617940, 24.7607208206, 13.4144690353,  6.1175891906,   .4681013645,  1.3028998298
   38,   .0631229236, 25.4299294914, 13.5164866804,  6.0306470812,   .4849544286,  1.3091358982
   39,   .0647840532, 26.0991381623, 13.6135536362,  5.9433702633,   .5016414761,  1.3153872413
   40,   .0664451827, 26.7683468331, 13.7060786376,  5.8557145471,   .5181350864,  1.3216742049
   41,   .0681063123, 27.4375555039, 13.7944616195,  5.7675667404,   .5344250781,  1.3279608492
   42,   .0697674419, 28.1067641747, 13.8790720293,  5.6787421472,   .5504930448,  1.3341375621
   43,   .0714285714, 28.7759728456, 13.9602477474,  5.5890344016,   .5663105592,  1.3400606421
   44,   .0730897010, 29.4451815164, 14.0383056156,  5.4983494132,   .5818671386,  1.3455940855
   45,   .0747508306, 30.1143901872, 14.1134835432,  5.4065546535,   .5971213793,  1.3505434232
   46,   .0764119601, 30.7835988580, 14.1860249659,  5.3140502473,   .6120310509,  1.3548783879
   47,   .0780730897, 31.4528075289, 14.2561470088,  5.2214365060,   .6265780279,  1.3586598484
   48,   .0797342193, 32.1220161997, 14.3240479125,  5.1289118085,   .6407906261,  1.3619807462
   49,   .0813953488, 32.7912248705, 14.3898123641,  5.0369958626,   .6546148415,  1.3647244044
   50,   .0830564784, 33.4604335414, 14.4536034066,  4.9460571579,   .6680587864,  1.3670621931
   51,   .0847176080, 34.1296422122, 14.5155690955,  4.8563205258,   .6811304450,  1.3691324108
   52,   .0863787375, 34.7988508830, 14.5758419437,  4.7679005354,   .6938362603,  1.3710462699
   53,   .0880398671, 35.4680595538, 14.6345383838,  4.6808337788,   .7061797335,  1.3728938192
   54,   .0897009967, 36.1372682247, 14.6917582468,  4.5951101276,   .7181600364,  1.3747498007
   55,   .0913621262, 36.8064768955, 14.7475842583,  4.5107030283,   .7297706347,  1.3766794325
   56,   .0930232558, 37.4756855663, 14.8021085246,  4.4277287341,   .7410011891,  1.3786817622
