   i    yr   yplus    t_avg    t_rms
    1,   .0016611296,   .6692086708,   .0000000000,  7.4897247767
    2,   .0033222591,  1.3384173417,   .6724026208,  7.5175307567
    3,   .0049833887,  2.0076260125,  1.3446429074,  7.5829830837
    4,   .0066445183,  2.6768346833,  2.0141173780,  7.7032475688
    5,   .0083056478,  3.3460433541,  2.6776047239,  7.8883930907
    6,   .0099667774,  4.0152520250,  3.3314743183,  8.1381463383
    7,   .0116279070,  4.6844606958,  3.9719690080,  8.4425641872
    8,   .0132890365,  5.3536693666,  4.5954876098,  8.7851831579
    9,   .0149501661,  6.0228780374,  5.1988165381,  9.1466903584
   10,   .0166112957,  6.6920867083,  5.7792869167,  9.5078486525
   11,   .0182724252,  7.3612953791,  6.3348569363,  9.8513781554
   12,   .0199335548,  8.0305040499,  6.8641245151, 10.1632929995
   13,   .0215946844,  8.6997127208,  7.3662916166, 10.4336520748
   14,   .0232558140,  9.3689213916,  7.8410951307, 10.6567554241
   15,   .0249169435, 10.0381300624,  8.2887238792, 10.8306269831
   16,   .0265780731, 10.7073387332,  8.7097369795, 10.9563210350
   17,   .0282392027, 11.3765474041,  9.1049833842, 11.0369910819
   18,   .0299003322, 12.0457560749,  9.4756081998, 11.0780575017
   19,   .0315614618, 12.7149647457,  9.8228786270, 11.0851014927
   20,   .0332225914, 13.3841734165, 10.1481490438, 11.0635240408
   21,   .0348837209, 14.0533820874, 10.4528275539, 11.0184024677
   22,   .0365448505, 14.7225907582, 10.7383421451, 10.9544854074
   23,   .0382059801, 15.3917994290, 11.0060851272, 10.8760172471
   24,   .0398671096, 16.0610080998, 11.2572986651, 10.7854636732
   25,   .0415282392, 16.7302167707, 11.4931545697, 10.6853822921
   26,   .0431893688, 17.3994254415, 11.7147476457, 10.5777158141
   27,   .0448504983, 18.0686341123, 11.9231072144, 10.4639227678
   28,   .0465116279, 18.7378427832, 12.1192014286, 10.3452273179
   29,   .0481727575, 19.4070514540, 12.3039418138, 10.2228123731
   30,   .0498338870, 20.0762601248, 12.4781879813, 10.0979624169
   31,   .0514950166, 20.7454687956, 12.6427232158,  9.9714387203
   32,   .0531561462, 21.4146774665, 12.7983481694,  9.8439361899
   33,   .0548172757, 22.0838861373, 12.9457124371,  9.7162556326
   34,   .0564784053, 22.7530948081, 13.0854039754,  9.5889322870
   35,   .0581395349, 23.4223034789, 13.2179624717,  9.4623489070
   36,   .0598006645, 24.0915121498, 13.3438870477,  9.3368004676
   37,   .0614617940, 24.7607208206, 13.4636448291,  9.2125399603
   38,   .0631229236, 25.4299294914, 13.5776764873,  9.0898974317
   39,   .0647840532, 26.0991381623, 13.6864493884,  8.9687416985
   40,   .0664451827, 26.7683468331, 13.7904503702,  8.8488720088
   41,   .0681063123, 27.4375555039, 13.8901555906,  8.7300451206
   42,   .0697674419, 28.1067641747, 13.9859852719,  8.6120694718
   43,   .0714285714, 28.7759728456, 14.0783067243,  8.4948071977
   44,   .0730897010, 29.4451815164, 14.1674505498,  8.3782442516
   45,   .0747508306, 30.1143901872, 14.2536253980,  8.2619737787
   46,   .0764119601, 30.7835988580, 14.3370815883,  8.1462662329
   47,   .0780730897, 31.4528075289, 14.4180562606,  8.0315612833
   48,   .0797342193, 32.1220161997, 14.4967878684,  7.9177905818
   49,   .0813953488, 32.7912248705, 14.5732872423,  7.8054455053
   50,   .0830564784, 33.4604335414, 14.6477399753,  7.6948009910
   51,   .0847176080, 34.1296422122, 14.7203179692,  7.5859829871
   52,   .0863787375, 34.7988508830, 14.7911775005,  7.4790069508
   53,   .0880398671, 35.4680595538, 14.8604573056,  7.3738158432
   54,   .0897009967, 36.1372682247, 14.9282766855,  7.2703176331
   55,   .0913621262, 36.8064768955, 14.9947336352,  7.1684223351
   56,   .0930232558, 37.4756855663, 15.0599400689,  7.0683580830
   57,   .0946843854, 38.1448942371, 15.1239714936,  6.9700084690
   58,   .0963455150, 38.8141029080, 15.1868662366,  6.8734830872
   59,   .0980066445, 39.4833115788, 15.2486836255,  6.7787038086
   60,   .0996677741, 40.1525202496, 15.3094635195,  6.6854799709
   61,   .1013289037, 40.8217289204, 15.3692315549,  6.5936607819
   62,   .1029900332, 41.4909375913, 15.4280160249,  6.5034041620
   63,   .1046511628, 42.1601462621, 15.4857872800,  6.4152955870
   64,   .1063122924, 42.8293549329, 15.5425195373,  6.3291576934
   65,   .1079734219, 43.4985636038, 15.5981851365,  6.2445143361
   66,   .1096345515, 44.1677722746, 15.6527873790,  6.1618057523
   67,   .1112956811, 44.8369809454, 15.7063274807,  6.0815367221
   68,   .1129568106, 45.5061896162, 15.7588003106,  6.0040846410
   69,   .1146179402, 46.1753982871, 15.8102000068,  5.9295724626
   70,   .1162790698, 46.8446069579, 15.8605385241,  5.8579418792
   71,   .1179401993, 47.5138156287, 15.9098709646,  5.7890591492
   72,   .1196013289, 48.1830242995, 15.9582443151,  5.7225974130
   73,   .1212624585, 48.8522329704, 16.0057048991,  5.6583603744
   74,   .1229235880, 49.5214416412, 16.0522927216,  5.5962233390
   75,   .1245847176, 50.1906503120, 16.0980384086,  5.5361403563
   76,   .1262458472, 50.8598589829, 16.1429422213,  5.4778226232
   77,   .1279069767, 51.5290676537, 16.1870370665,  5.4212369571
   78,   .1295681063, 52.1982763245, 16.2303650863,  5.3663234419
   79,   .1312292359, 52.8674849953, 16.2729618413,  5.3127961657
   80,   .1328903654, 53.5366936662, 16.3147726941,  5.2611628103
   81,   .1345514950, 54.2059023370, 16.3557939739,  5.2114534076
